is_return,is_sharpe,is_trades,is_win_rate,oos_return,oos_sharpe,oos_trades,oos_win_rate,score,ticker,atr,rr,sma,rsi,gauss,orb,cutoff
3.88142519233019,1.2487064693028278,66,50.0,4.290142092208726,2.2573976261995523,38,52.63157894736842,0.7819745019821582,WMT,2.5,1.5,True,False,True,09:45,11:00
8.350393894879748,1.6074831950851378,85,45.88235294117647,2.707753133745694,2.6770777651571422,17,47.05882352941176,0.7817952829276125,CRM,2.5,1.5,True,True,False,09:40,11:00
1.8048537591625946,0.5885602239453698,67,41.7910447761194,5.628215789622315,3.0511176447855255,28,39.285714285714285,0.7816899159591733,CSCO,2.0,3.0,True,True,True,09:40,11:00
1.9582745056544892,0.7795238589737405,75,38.666666666666664,2.478924712323982,3.95277763139433,20,50.0,0.7806428596153536,TMO,0.75,3.0,True,True,True,09:45,11:00
2.4717168416002133,0.6181815463539854,100,48.0,4.264225212918005,4.812357370653001,20,55.00000000000001,0.780075743984366,CRM,1.5,1.5,True,True,False,09:45,11:00
1.2411934848227668,0.5052527997659255,43,44.18604651162791,6.398350842114908,4.8204217455116005,17,64.70588235294117,0.7789881301843746,AMAT,2.0,3.0,True,True,True,09:40,11:00
22.895995338050156,2.1511779039209573,135,49.629629629629626,5.545670070706388,1.8676968501742885,44,50.0,0.7787966976188816,CRM,2.5,2.0,False,True,False,09:45,11:00
0.5067842457292304,0.19380414453878567,78,48.717948717948715,6.086781571781086,3.3010008227968997,29,48.275862068965516,0.7787706669970542,CSCO,2.5,1.5,True,True,False,09:40,11:00
23.942938420160598,1.4989055952235306,160,40.0,15.547104178559534,2.180318307849123,76,46.05263157894737,0.7784496917575274,INTC,1.25,3.0,False,True,False,09:40,11:00
1.3026157244481196,0.3693913082011912,83,44.57831325301205,6.4741407593357225,2.8183375526557035,43,48.837209302325576,0.7771923835760042,WMT,2.0,3.0,True,False,False,09:40,11:00
5.434506268035255,1.2066354578144014,73,45.20547945205479,2.5248747300941066,2.912946493882022,14,50.0,0.7750341590679485,CRM,2.5,1.5,True,True,True,09:45,11:00
27.507787830464657,1.8335474478232832,114,50.877192982456144,10.082978871878678,1.8130402869295659,51,52.94117647058824,0.7750139182615328,INTC,2.5,3.0,False,True,False,09:45,11:00
5.3156471472756595,1.117435257265271,83,34.93975903614458,3.621153606747063,3.5544081020622302,16,43.75,0.7748300961965969,CRM,1.5,3.0,True,True,False,09:45,11:00
0.7662568175903051,0.34649349279727815,42,47.61904761904761,5.954111476594948,4.474902070440569,16,68.75,0.7737830079731973,AMAT,2.5,2.0,True,True,True,09:40,11:00
2.2181197927251928,0.5979106726623026,51,39.21568627450981,7.2326514952757215,4.954998067215983,19,52.63157894736842,0.7721762353875011,TXN,2.5,3.0,True,True,False,09:40,11:00
1.9804512263920993,0.6527090047487608,52,48.07692307692308,2.889407532156385,2.5753043093064116,25,60.0,0.7719931283152843,UNH,1.5,1.5,True,True,False,09:45,11:00
19.6893822162022,1.5104094543803879,124,43.54838709677419,11.649189130067183,2.0117999867944136,60,50.0,0.7714644716625724,INTC,1.5,3.0,False,True,False,09:45,11:00
3.97732180750614,1.1170208752317525,75,49.333333333333336,4.568323101701477,2.2089176674848594,40,52.5,0.7713144571603764,WMT,2.5,1.5,True,False,False,09:45,11:00
